Country name,Country code,Region,Policy on fertility level,Year
Afghanistan,4,Asia,No intervention,"1996"
Albania,8,Europe,Maintain,"1996"
Algeria,12,Africa,Lower,"1996"
Andorra,20,Europe,Maintain,"1996"
Angola,24,Africa,No intervention,"1996"
Antigua and Barbuda,28,Latin Amer. & Caribbean,No intervention,"1996"
Argentina,32,Latin Amer. & Caribbean,No intervention,"1996"
Armenia,51,Asia,Raise,"1996"
Australia,36,Oceania,No intervention,"1996"
Austria,40,Europe,No intervention,"1996"
Azerbaijan,31,Asia,Maintain,"1996"
Bahamas,44,Latin Amer. & Caribbean,No intervention,"1996"
Bahrain,48,Asia,Lower,"1996"
Bangladesh,50,Asia,Lower,"1996"
Barbados,52,Latin Amer. & Caribbean,No intervention,"1996"
Belarus,112,Europe,Raise,"1996"
Belgium,56,Europe,No intervention,"1996"
Belize,84,Latin Amer. & Caribbean,No intervention,"1996"
Benin,204,Africa,No intervention,"1996"
Bhutan,64,Asia,No intervention,"1996"
Bolivia (Plurinational State of),68,Latin Amer. & Caribbean,No intervention,"1996"
Bosnia and Herzegovina,70,Europe,No intervention,"1996"
Botswana,72,Africa,Lower,"1996"
Brazil,76,Latin Amer. & Caribbean,No intervention,"1996"
Brunei Darussalam,96,Asia,No intervention,"1996"
Bulgaria,100,Europe,Raise,"1996"
Burkina Faso,854,Africa,Lower,"1996"
Burundi,108,Africa,Lower,"1996"
Cabo Verde,132,Africa,Lower,"1996"
Cambodia,116,Asia,Lower,"1996"
Cameroon,120,Africa,Lower,"1996"
Canada,124,Northern America,No intervention,"1996"
Central African Republic,140,Africa,No intervention,"1996"
Chad,148,Africa,No intervention,"1996"
Chile,152,Latin Amer. & Caribbean,No intervention,"1996"
China,156,Asia,Lower,"1996"
Colombia,170,Latin Amer. & Caribbean,No intervention,"1996"
Comoros,174,Africa,Lower,"1996"
Congo,178,Africa,Lower,"1996"
Cook Islands,184,Oceania,Maintain,"1996"
Costa Rica,188,Latin Amer. & Caribbean,Lower,"1996"
Côte d'Ivoire,384,Africa,Raise,"1996"
Croatia,191,Europe,Raise,"1996"
Cuba,192,Latin Amer. & Caribbean,No intervention,"1996"
Cyprus,196,Asia,Raise,"1996"
Czech Republic,203,Europe,No intervention,"1996"
Democratic People's Republic of Korea,408,Asia,Maintain,"1996"
Democratic Republic of the Congo,180,Africa,No intervention,"1996"
Denmark,208,Europe,No intervention,"1996"
Djibouti,262,Africa,No intervention,"1996"
Dominica,212,Latin Amer. & Caribbean,Lower,"1996"
Dominican Republic,214,Latin Amer. & Caribbean,Lower,"1996"
Ecuador,218,Latin Amer. & Caribbean,Lower,"1996"
Egypt,818,Africa,Lower,"1996"
El Salvador,222,Latin Amer. & Caribbean,Lower,"1996"
Equatorial Guinea,226,Africa,Maintain,"1996"
Eritrea,232,Africa,Lower,"1996"
Estonia,233,Europe,Raise,"1996"
Ethiopia,231,Africa,Lower,"1996"
Fiji,242,Oceania,Lower,"1996"
Finland,246,Europe,Raise,"1996"
France,250,Europe,Raise,"1996"
Gabon,266,Africa,Raise,"1996"
Gambia,270,Africa,Lower,"1996"
Georgia,268,Asia,Raise,"1996"
Germany,276,Europe,No intervention,"1996"
Ghana,288,Africa,Lower,"1996"
Greece,300,Europe,Raise,"1996"
Grenada,308,Latin Amer. & Caribbean,Lower,"1996"
Guatemala,320,Latin Amer. & Caribbean,Lower,"1996"
Guinea,324,Africa,Lower,"1996"
Guinea-Bissau,624,Africa,No intervention,"1996"
Guyana,328,Latin Amer. & Caribbean,No intervention,"1996"
Haiti,332,Latin Amer. & Caribbean,Lower,"1996"
Holy See,336,Europe,No intervention,"1996"
Honduras,340,Latin Amer. & Caribbean,Lower,"1996"
Hungary,348,Europe,Raise,"1996"
Iceland,352,Europe,No intervention,"1996"
India,356,Asia,Lower,"1996"
Indonesia,360,Asia,Lower,"1996"
Iran (Islamic Republic of),364,Asia,Lower,"1996"
Iraq,368,Asia,Raise,"1996"
Ireland,372,Europe,Maintain,"1996"
Israel,376,Asia,Raise,"1996"
Italy,380,Europe,No intervention,"1996"
Jamaica,388,Latin Amer. & Caribbean,Lower,"1996"
Japan,392,Asia,No intervention,"1996"
Jordan,400,Asia,Lower,"1996"
Kazakhstan,398,Asia,Raise,"1996"
Kenya,404,Africa,Lower,"1996"
Kiribati,296,Oceania,Lower,"1996"
Kuwait,414,Asia,Maintain,"1996"
Kyrgyzstan,417,Asia,No intervention,"1996"
Lao People's Democratic Republic,418,Asia,Maintain,"1996"
Latvia,428,Europe,Raise,"1996"
Lebanon,422,Asia,No intervention,"1996"
Lesotho,426,Africa,Lower,"1996"
Liberia,430,Africa,Lower,"1996"
Libya,434,Africa,No intervention,"1996"
Liechtenstein,438,Europe,No intervention,"1996"
Lithuania,440,Europe,Raise,"1996"
Luxembourg,442,Europe,Raise,"1996"
Madagascar,450,Africa,Lower,"1996"
Malawi,454,Africa,Lower,"1996"
Malaysia,458,Asia,Lower,"1996"
Maldives,462,Asia,Lower,"1996"
Mali,466,Africa,Lower,"1996"
Malta,470,Europe,No intervention,"1996"
Marshall Islands,584,Oceania,Lower,"1996"
Mauritania,478,Africa,No intervention,"1996"
Mauritius,480,Africa,Maintain,"1996"
Mexico,484,Latin Amer. & Caribbean,Lower,"1996"
Micronesia (Federated States of),583,Oceania,Lower,"1996"
Monaco,492,Europe,Raise,"1996"
Mongolia,496,Asia,Maintain,"1996"
Morocco,504,Africa,Lower,"1996"
Mozambique,508,Africa,Lower,"1996"
Myanmar,104,Asia,No intervention,"1996"
Namibia,516,Africa,No intervention,"1996"
Nauru,520,Oceania,Maintain,"1996"
Nepal,524,Asia,Lower,"1996"
Netherlands,528,Europe,No intervention,"1996"
New Zealand,554,Oceania,No intervention,"1996"
Nicaragua,558,Latin Amer. & Caribbean,Lower,"1996"
Niger,562,Africa,Lower,"1996"
Nigeria,566,Africa,Lower,"1996"
Niue,570,Oceania,Raise,"1996"
Norway,578,Europe,No intervention,"1996"
Oman,512,Asia,Maintain,"1996"
Pakistan,586,Asia,Lower,"1996"
Palau,585,Oceania,No intervention,"1996"
Panama,591,Latin Amer. & Caribbean,No intervention,"1996"
Papua New Guinea,598,Oceania,Lower,"1996"
Paraguay,600,Latin Amer. & Caribbean,No intervention,"1996"
Peru,604,Latin Amer. & Caribbean,Lower,"1996"
Philippines,608,Asia,Lower,"1996"
Poland,616,Europe,No intervention,"1996"
Portugal,620,Europe,No intervention,"1996"
Qatar,634,Asia,Maintain,"1996"
Republic of Korea,410,Asia,No intervention,"1996"
Republic of Moldova,498,Europe,No intervention,"1996"
Romania,642,Europe,Raise,"1996"
Russian Federation,643,Europe,No intervention,"1996"
Rwanda,646,Africa,Lower,"1996"
Saint Kitts and Nevis,659,Latin Amer. & Caribbean,Lower,"1996"
Saint Lucia,662,Latin Amer. & Caribbean,Lower,"1996"
Saint Vincent and the Grenadines,670,Latin Amer. & Caribbean,Lower,"1996"
Samoa,882,Oceania,Lower,"1996"
San Marino,674,Europe,No intervention,"1996"
Sao Tome and Principe,678,Africa,No intervention,"1996"
Saudi Arabia,682,Asia,Maintain,"1996"
Senegal,686,Africa,Lower,"1996"
Serbia and Montenegro,891,Europe,Maintain,"1996"
Seychelles,690,Africa,Lower,"1996"
Sierra Leone,694,Africa,Lower,"1996"
Singapore,702,Asia,Raise,"1996"
Slovakia,703,Europe,Raise,"1996"
Slovenia,705,Europe,Raise,"1996"
Solomon Islands,90,Oceania,Lower,"1996"
Somalia,706,Africa,No intervention,"1996"
South Africa,710,Africa,Lower,"1996"
Spain,724,Europe,No intervention,"1996"
Sri Lanka,144,Asia,Lower,"1996"
Sudan (including South Sudan),736,Africa,Lower,"1996"
Suriname,740,Latin Amer. & Caribbean,No intervention,"1996"
Swaziland,748,Africa,Lower,"1996"
Sweden,752,Europe,No intervention,"1996"
Switzerland,756,Europe,No intervention,"1996"
Syrian Arab Republic,760,Asia,No intervention,"1996"
Tajikistan,762,Asia,Lower,"1996"
Thailand,764,Asia,Lower,"1996"
The former Yugoslav Rep. of Macedonia,807,Europe,Lower,"1996"
Togo,768,Africa,Maintain,"1996"
Tonga,776,Oceania,Maintain,"1996"
Trinidad and Tobago,780,Latin Amer. & Caribbean,Lower,"1996"
Tunisia,788,Africa,Lower,"1996"
Turkey,792,Asia,Lower,"1996"
Turkmenistan,795,Asia,No intervention,"1996"
Tuvalu,798,Oceania,Lower,"1996"
Uganda,800,Africa,Lower,"1996"
Ukraine,804,Europe,Raise,"1996"
United Arab Emirates,784,Asia,No intervention,"1996"
United Kingdom,826,Europe,No intervention,"1996"
United Republic of Tanzania,834,Africa,Lower,"1996"
United States of America,840,Northern America,No intervention,"1996"
Uruguay,858,Latin Amer. & Caribbean,Raise,"1996"
Uzbekistan,860,Asia,Maintain,"1996"
Vanuatu,548,Oceania,No intervention,"1996"
Venezuela (Bolivarian Republic of),862,Latin Amer. & Caribbean,Lower,"1996"
Viet Nam,704,Asia,Lower,"1996"
Yemen,887,Asia,Lower,"1996"
Zambia,894,Africa,Lower,"1996"
Zimbabwe,716,Africa,Lower,"1996"
